source_name,organization,category,keywords,reference_urls,source_type,access,priority,notes
Prebid Documentation,Prebid.org,Header bidding / publisher,prebid documentation; prebid.org; header bidding / publisher; header bidding; prebid.js; prebid server; bidder adapters; modules; gam integration; troubleshooting; prebid; pbs; auction; gam,https://docs.prebid.org/; https://github.com/prebid/prebid.github.io,GitHub; Markdown,Public,P0,One of the best practical open-web programmatic corpora.
Prebid.js,Prebid.org,Header bidding / client-side,prebid.js; prebid.org; header bidding / client-side; header bidding; auction lifecycle; adapters; modules; user ids; floors; paapi; analytics; prebid; prebid server; pbs; auction,https://github.com/prebid/Prebid.js,GitHub; Markdown,Public,P0,Excellent implementation-level grounding source.
Prebid Server (Go),Prebid.org,Header bidding / server-side,prebid server (go); prebid.org; header bidding / server-side; header bidding; server-side auctions; openrtb; adapters; stored requests; privacy; modules; prebid; prebid.js; prebid server; pbs; rtb; bid request; bid response; auction; consent; cmp; tcf; gpp,https://github.com/prebid/prebid-server,GitHub; Markdown,Public,P0,Strong source for server-side auction semantics.
Prebid Server (Java),Prebid.org,Header bidding / server-side,prebid server (java); prebid.org; header bidding / server-side; header bidding; java prebid server implementation; openrtb; adapters; modules; prebid; prebid.js; prebid server; pbs; rtb; bid request; bid response; auction,https://github.com/prebid/prebid-server-java,GitHub; Markdown,Public,P1,Useful implementation cross-check against Go PBS.
Unified ID 2.0 (UID2),IAB Tech Lab / UID2,Identity / addressability,unified id 2.0 (uid2); iab tech lab / uid2; identity / addressability; uid2 workflows; tokens; operators; publishers; dsps; identity; addressability; user id; eids; uid2,https://unifiedid.com/docs/,API; Markdown,Public,P0,Important open identity reference even without a confirmed llms.txt.
Yahoo DSP Developer / Help,Yahoo,DSP / programmatic,yahoo dsp developer / help; yahoo; dsp / programmatic; buy side / dsp; campaigns; lines; creatives; deals; audiences; spo; ads.txt; datax; connectid; dsp,https://help.yahooinc.com/; https://help.yahooinc.com/llms.txt,llms.txt; API; Markdown,Public,P0,Outstanding general-purpose DSP corpus.
Google Ad Manager REST API,Google,Ad server / publisher,google ad manager rest api; google; ad server / publisher; sell side / publisher; gam network resources; inventory; orders/line items; reporting; api workflows; gam; google ad manager; dv360; display & video 360; authorized buyers; google open bidding,https://developers.google.com/ad-manager/api/beta,API; Markdown,Public docs; API auth,P0,Prefer REST for new integrations while retaining SOAP knowledge.
Google Ad Manager SOAP API,Google,Ad server / publisher,google ad manager soap api; google; ad server / publisher; sell side / publisher; inventory; orders; line items; creatives; reporting; legacy/established gam automation; gam; google ad manager; dv360; display & video 360; authorized buyers; google open bidding,https://developers.google.com/ad-manager/api,Markdown,Public docs; API auth,P1,Still valuable for existing GAM integrations.
Display & Video 360 API v4,Google,DSP / programmatic,display & video 360 api v4; google; dsp / programmatic; buy side / dsp; advertisers; campaigns; insertion orders; line items; targeting; creatives; reporting; gam; google ad manager; dv360; display & video 360; authorized buyers; google open bidding; dsp,https://developers.google.com/display-video/api,API; Markdown,Public docs; API auth,P0,Discovery document makes this very agent/RAG friendly.
Amazon Ads API,Amazon Ads,Ad platform / retail media,amazon ads api; amazon ads; ad platform / retail media; retail / commerce media; sponsored ads; amazon dsp; amc; marketing stream; campaign/reporting apis; amazon marketing cloud; retail media; commerce media; sponsored products; retail; commerce; dsp,https://advertising.amazon.com/API/docs,OpenAPI; Markdown,Public docs; API approval/auth,P1,Strong retail-media/API source; access to APIs is gated.
Criteo Developer Portal,Criteo,Commerce / retail media / DSP,criteo developer portal; criteo; commerce / retail media / dsp; retail / commerce media; retail media api; marketing solutions; campaigns; creatives; analytics; audiences; retail media; commerce media; sponsored products; commerce; retail; dsp,https://developers.criteo.com/; https://developers.criteo.com/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,High-value commerce-media and campaign API corpus.
Kevel Developer Docs,Kevel,Ad server / retail media,kevel developer docs; kevel; ad server / retail media; retail / commerce media; ad serving apis; campaigns; targeting; decisioning; reporting; custom ad platforms; retail media; commerce media; sponsored products; retail; commerce,https://dev.kevel.com/; https://dev.kevel.com/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Excellent ad-server-as-a-platform implementation source.
Koddi Developer Docs,Koddi,Retail media / sponsored listings,koddi developer docs; koddi; retail media / sponsored listings; retail / commerce media; auctions; campaigns; targeting; retail media apis; reporting; sponsored placements; retail media; commerce media; sponsored products; retail; commerce,https://developers.koddi.com/; https://developers.koddi.com/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Strong commerce/retail media auction knowledge.
Topsort Developer Docs,Topsort,Retail media / ad server,topsort developer docs; topsort; retail media / ad server; retail / commerce media; marketplace ads; auctions; campaigns; sponsored listings; reporting; toppie; retail media; commerce media; sponsored products; retail; commerce,https://docs.topsort.com/; https://docs.topsort.com/llms.txt,llms.txt; MCP; API; Markdown,Public docs; API auth,P0,One of the more agent-native retail-media documentation stacks.
Epsilon Retail Media / CitrusAd,Epsilon,Retail media,epsilon retail media / citrusad; epsilon; retail media; retail / commerce media; sponsored product/display; retailers; campaigns; reporting; integration apis; commerce media; sponsored products; retail; commerce,https://developers.citrusad.com/integration/; https://developers.citrusad.com/integration/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Useful retailer-side commerce-media API source.
Moloco Ads Developer Docs,Moloco,Performance ads / DSP,moloco ads developer docs; moloco; performance ads / dsp; buy side / dsp; campaigns; creatives; targeting; reporting; ad platform apis; dsp,https://developer.moloco.cloud/; https://developer.moloco.cloud/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Good structured performance-ad API corpus.
Moloco Commerce Media,Moloco,Retail media / commerce,moloco commerce media; moloco; retail media / commerce; retail / commerce media; commerce media platform apis; campaigns; products; retail media; commerce media; sponsored products; commerce; retail,https://mcm-docs.moloco.com/v1.0/; https://mcm-docs.moloco.com/v1.0/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Separate commerce-media corpus from Moloco Ads.
Verve Developer Docs,Verve,SSP / mobile monetisation,verve developer docs; verve; ssp / mobile monetisation; header bidding; hybid; mobile monetisation; prebid; openrtb; app-ads.txt; gam integration; rtb; bid request; bid response; auction; ssp; gam,https://developers.verve.com/; https://developers.verve.com/llms.txt,llms.txt; OpenAPI; Markdown,Public,P0,Strong mobile/SSP implementation corpus.
Quantcast Help / Platform Docs,Quantcast,DSP / audience,quantcast help / platform docs; quantcast; dsp / audience; buy side / dsp; campaigns; targeting; deals; measurement; audiences; tagging; attribution; media quality; dsp; audience,https://help.quantcast.com/; https://help.quantcast.com/llms.txt,llms.txt; API; Markdown,Public,P1,Broad DSP/audience operating knowledge.
Triton Digital Help,Triton Digital,Programmatic audio,triton digital help; triton digital; programmatic audio; audio; audio monetisation; ad operations; ads.txt; sellers.json,https://help.tritondigital.com/; https://help.tritondigital.com/llms.txt,llms.txt; API; Markdown,Public,P1,Specialist audio advertising source.
Content Ignite Docs,Content Ignite,Publisher monetisation / Prebid,content ignite docs; content ignite; publisher monetisation / prebid; header bidding; prebid; ssp integrations; publisher monetisation; ads.txt; cmp; ad stack configuration; auction; ssp,https://docs.contentignite.com/; https://docs.contentignite.com/llms.txt,llms.txt; Markdown,Public,P1,Practical publisher-side operations content.
GrowthCode Docs,GrowthCode,Publisher addressability / enrichment,growthcode docs; growthcode; publisher addressability / enrichment; header bidding; universal ids; prebid identity; bid enrichment; gam setup; first-party data; uplift measurement; prebid; auction; identity; addressability; user id; eids; measurement; attribution; media quality; gam,https://docs.growthcode.io/; https://docs.growthcode.io/llms.txt,llms.txt; Markdown,Public,P1,Useful niche corpus for publisher identity enrichment. Verification: Official docs explicitly expose llms.txt + Markdown
LiveRamp Activation API,LiveRamp,Audience activation,liveramp activation api; liveramp; audience activation; audience / data activation; segment distribution; destinations; delivery workflows; rampid; ats; authenticated traffic solution; identity envelope; data marketplace; audience,https://developers.liveramp.com/activation-api/; https://developers.liveramp.com/activation-api/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,High-value audience activation/data distribution source.
LiveRamp Authenticated Traffic Solution (ATS),LiveRamp,Identity / publisher addressability,liveramp authenticated traffic solution (ats); liveramp; identity / publisher addressability; header bidding; ats; rampid; identity envelopes; publisher integrations; prebid; authenticated traffic solution; identity envelope; audience activation; data marketplace; auction; identity; addressability; user id; eids,https://developers.liveramp.com/authenticatedtraffic-api/; https://developers.liveramp.com/authenticatedtraffic-api/llms.txt,llms.txt; API; Markdown,Public docs; API auth,P0,Strong publisher-side identity knowledge.
LiveRamp RampID API,LiveRamp,Identity / resolution,liveramp rampid api; liveramp; identity / resolution; identity / addressability; rampid; identity resolution; api workflows; pseudonymous identifiers; ats; authenticated traffic solution; identity envelope; audience activation; data marketplace; identity; addressability; user id; eids,https://developers.liveramp.com/rampid-api/; https://developers.liveramp.com/rampid-api/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Identity-resolution reference.
LiveRamp Data Marketplace Buyer API,LiveRamp,Audience data marketplace,liveramp data marketplace buyer api; liveramp; audience data marketplace; audience / data activation; third-party data buying; audience segments; marketplace workflows; rampid; ats; authenticated traffic solution; identity envelope; audience activation; data marketplace; audience,https://developers.liveramp.com/datamarketplace-buyer-api/; https://developers.liveramp.com/datamarketplace-buyer-api/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P1,Useful for commercial audience-data workflows.
LiveRamp Data Seller API,LiveRamp,Audience data marketplace,liveramp data seller api; liveramp; audience data marketplace; audience / data activation; data seller workflows; segment publishing; marketplace distribution; rampid; ats; authenticated traffic solution; identity envelope; audience activation; data marketplace; audience,https://developers.liveramp.com/data-seller-api/; https://developers.liveramp.com/data-seller-api/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P1,Complements buyer-side Data Marketplace docs.
Permutive Docs,Permutive,Publisher first-party data / curation,permutive docs; permutive; publisher first-party data / curation; header bidding; first-party signals; cohorts; curation; prebid; gam; activation; identity; publisher data; first-party data; auction; addressability; user id; eids,https://docs.permutive.com/; https://docs.permutive.com/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product access,P0,Excellent publisher-data and curation corpus.
Hightouch Docs,Hightouch,CDP / audience activation,hightouch docs; hightouch; cdp / audience activation; audience / data activation; reverse etl; audience building; identity resolution; ad destinations; campaign optimisation; identity; addressability; user id; eids; audience,https://hightouch.com/docs; https://hightouch.com/docs/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product auth,P0,Highly useful bridge between warehouse data and ad-platform activation.
Tealium Docs,Tealium,CDP / tag management,tealium docs; tealium; cdp / tag management; audience / data activation; audiencestream; eventstream; connectors; tag integrations; ad-platform activation; audience,https://docs.tealium.com/; https://docs.tealium.com/llms.txt,llms.txt; API; Markdown,Public docs; product auth,P1,Broad event/audience activation knowledge.
Twilio Segment Docs,Twilio Segment,CDP / event ingestion,twilio segment docs; twilio segment; cdp / event ingestion; audience / data activation; tracking plans; event ingestion; destinations; identity; audiences; reverse etl; addressability; user id; eids; audience,https://www.twilio.com/docs/segment; https://www.twilio.com/docs/llms.txt,llms.txt; API; Markdown,Public docs; API auth,P1,Broader Twilio index; filter aggressively to Segment.
MetaRouter Docs,MetaRouter,First-mile data routing,metarouter docs; metarouter; first-mile data routing; server-side event routing; advertising destinations; offline conversions; privacy controls; privacy; consent; cmp; tcf; gpp,https://docs.metarouter.io/; https://docs.metarouter.io/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; product auth,P1,Useful for data collection/routing into ad platforms.
Narrative I/O Docs,Narrative,Data collaboration / audience activation,narrative i/o docs; narrative; data collaboration / audience activation; audience / data activation; data collaboration; audience/data ingestion; connectors; dsp/ssp activation; marketplace; audience; dsp; ssp,https://docs.narrative.io/; https://docs.narrative.io/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product auth,P0,Very agent-friendly data collaboration documentation.
Narrative Agent Discovery,Narrative,Agent discovery / data collaboration,narrative agent discovery; narrative; agent discovery / data collaboration; agent discovery; documentation routing; public mcp servers; narrative platform; mcp; model context protocol; agent tool server,https://app.narrative.io/llms.txt,llms.txt; MCP; Markdown,Public discovery; platform auth may apply,P1,Useful example of an app exposing itself directly to agents.
OneTrust Developer Docs,OneTrust,Consent / privacy,onetrust developer docs; onetrust; consent / privacy; header bidding; cmp; tcf; consent; privacy sdks; mobile/ctv; prebid integrations; gpp; privacy; prebid; auction; ctv; connected tv; streaming; video advertising,https://developer.onetrust.com/onetrust/; https://developer.onetrust.com/onetrust/llms.txt,llms.txt; MCP; OpenAPI; Markdown,Public docs; APIs may require auth,P0,One of the strongest machine-friendly CMP/privacy sources.
Sourcepoint Public API,Sourcepoint,Consent / privacy,sourcepoint public api; sourcepoint; consent / privacy; privacy / consent; cmp apis; consent management; privacy operations; configuration; cmp; consent; privacy; tcf; gpp,https://sourcepoint-public-api.readme.io/; https://sourcepoint-public-api.readme.io/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P0,Strong CMP API corpus.
Didomi Developer Docs,Didomi,Consent / privacy,didomi developer docs; didomi; consent / privacy; privacy / consent; cmp; consent strings; tcf; sdks; consent apis; user privacy data; consent; privacy; gpp,https://developers.didomi.io/; https://developers.didomi.io/llms.txt,llms.txt; API; Markdown,Public docs; API auth,P0,Excellent consent/CMP implementation source. Verification: Official docs explicitly point to root llms.txt and Markdown
HUMAN Security Docs,HUMAN Security,Ad quality / fraud / security,human security docs; human security; ad quality / fraud / security; ad fraud; mediaguard; malvertising; bot/fraud protection; integrations; human; ivt; invalid traffic; verification,https://docs.humansecurity.com/; https://docs.humansecurity.com/llms.txt,llms.txt; API; Markdown,Public docs; product auth,P0,Important ad-quality and invalid-traffic knowledge source.
Transcend Docs,Transcend,Privacy infrastructure,transcend docs; transcend; privacy infrastructure; privacy / consent; consent; data rights; governance; privacy; cmp; tcf; gpp,https://docs.transcend.io/; https://docs.transcend.io/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product auth,P1,Useful privacy-engineering complement to CMP-specific sources. Verification: Endpoint reported in current documentation ecosystem; recheck before automated crawl
Scope3 Methodology,Scope3,Supply chain / sustainability,scope3 methodology; scope3; supply chain / sustainability; ad-tech infrastructure; publishers; supply chain; emissions methodology; property metrics; supply path; sustainability; emissions; green media; spo; ads.txt; sellers.json; schain,https://methodology.scope3.com/; https://methodology.scope3.com/llms.txt,llms.txt; OpenAPI; Markdown,Public,P0,Unusually structured model of programmatic supply-chain entities.
Scope3 Interchange Docs,Scope3 / Interchange,Agentic / conversion / identity,scope3 interchange docs; scope3 / interchange; agentic / conversion / identity; agentic advertising; agentic advertising infrastructure; conversion; identity; integrations; ai agents; agent workflows; agent tools; addressability; user id; eids,https://docs.interchange.io/; https://docs.interchange.io/llms.txt,llms.txt; MCP; API; Markdown,Public docs,P1,Worth tracking as Scope3's agentic stack evolves.
Branch Developer / Help Docs,Branch,Mobile attribution / measurement,branch developer / help docs; branch; mobile attribution / measurement; measurement / attribution; attribution; deep links; mobile ads; events; skan; measurement integrations; measurement; media quality,https://help.branch.io/; https://help.branch.io/llms.txt,llms.txt; API; Markdown,Public docs; product auth,P1,Good mobile attribution corpus.
Lytics Docs,Lytics,CDP / audience,lytics docs; lytics; cdp / audience; audience / data activation; cdp; audiences; identity; activation; addressability; user id; eids; audience,https://docs.lytics.com/; https://docs.lytics.com/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API auth,P1,Good additional audience/CDP corpus.
Anteriad Developer Docs,Anteriad,B2B audience / activation,anteriad developer docs; anteriad; b2b audience / activation; audience / data activation; b2b audiences; intent; programmatic destinations; marketing cloud apis; integrations; audience,https://docs.anteriad.com/; https://docs.anteriad.com/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; API/product auth,P1,Useful for B2B audience activation/programmatic destinations. Verification: Official docs explicitly expose llms.txt + OpenAPI
Amplitude Docs,Amplitude,Analytics / activation,amplitude docs; amplitude; analytics / activation; audience / data activation; events; cohorts; identity; analytics; activation; experimentation; addressability; user id; eids; audience,https://amplitude.com/docs; https://amplitude.com/docs/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product auth,P2,"Not core AdTech, but valuable for cohort/event plumbing. Verification: Official docs explicitly advertise /docs/llms.txt + Markdown"
Mixpanel Docs,Mixpanel,Analytics / audiences,mixpanel docs; mixpanel; analytics / audiences; audience / data activation; events; identities; cohorts; analytics; warehouse integrations; audience,https://docs.mixpanel.com/; https://docs.mixpanel.com/llms.txt,llms.txt; API; Markdown,Public docs; product auth,P2,Useful supporting corpus for event/audience pipelines. Verification: Official docs explicitly advertise /llms.txt
Bloomreach Engagement Docs,Bloomreach,CDP / marketing activation,bloomreach engagement docs; bloomreach; cdp / marketing activation; audience / data activation; customer data; audiences; campaign activation; dv360/adform integrations; audience; dv360,https://documentation.bloomreach.com/engagement/; https://documentation.bloomreach.com/engagement/llms.txt,llms.txt; OpenAPI; Markdown,Public docs; product auth,P2,Supporting source for activation and ad-platform connectors. Verification: Official docs explicitly expose llms.txt + OpenAPI
Supermetrics Docs,Supermetrics,Marketing data connectors,supermetrics docs; supermetrics; marketing data connectors; advertising data connectors; reporting schemas; metrics/dimensions; data extraction,https://docs.supermetrics.com/; https://docs.supermetrics.com/llms.txt,llms.txt; MCP; API; Markdown,Public docs; product auth,P2,Very useful for normalized marketing/ad reporting semantics.
Supermetrics MCP,Supermetrics,Marketing data / agent tooling,supermetrics mcp; supermetrics; marketing data / agent tooling; agent access to marketing data; ad connectors; reporting; mcp; model context protocol; agent tool server,https://mcp.supermetrics.com/; https://mcp.supermetrics.com/llms.txt,llms.txt; MCP; Markdown,Public docs; data access auth,P2,Agent-oriented complement to static docs.
Optimizely Web Experimentation Docs,Optimizely,Experimentation / activation,optimizely web experimentation docs; optimizely; experimentation / activation; audience / data activation; web experimentation; audience targeting; implementation; audience,https://docs.developers.optimizely.com/web-experimentation/; https://docs.developers.optimizely.com/web-experimentation/llms.txt,llms.txt; API; Markdown,Public docs; product auth,P2,Supporting source where experimentation intersects ad/marketing activation.
Snowflake Data Clean Rooms,Snowflake,Data clean room,snowflake data clean rooms; snowflake; data clean room; data clean rooms; data collaboration; privacy-safe joins; clean-room apis; audience collaboration; collaboration; clean room; agentic advertising; ai agents; agent workflows; agent tools; privacy; consent; cmp; tcf; gpp; privacy-safe analytics; audience,https://docs.snowflake.com/en/user-guide/cleanrooms/developer-guide,MCP; API; Markdown,Public docs; Snowflake account for execution,P1,Current Collaboration API is a strong machine-readable clean-room source.
AWS Clean Rooms API,AWS,Data clean room,aws clean rooms api; aws; data clean room; data clean rooms; collaborations; configured tables; analysis rules; privacy-safe queries; clean rooms; amazon web services; clean rooms ml; privacy; consent; cmp; tcf; gpp; data collaboration; privacy-safe analytics,https://docs.aws.amazon.com/clean-rooms/latest/apireference/Welcome.html,API,Public docs; AWS auth for execution,P1,Excellent structured clean-room API corpus.
AWS Clean Rooms ML API,AWS,Data clean room / ML audiences,aws clean rooms ml api; aws; data clean room / ml audiences; data clean rooms; privacy-enhancing lookalikes; audience models; seed data; collaborative ml; amazon web services; clean rooms; clean rooms ml; privacy; consent; cmp; tcf; gpp; data clean room; data collaboration; privacy-safe analytics; audience,https://docs.aws.amazon.com/cleanrooms-ml/latest/APIReference/Welcome.html,API,Public docs; AWS auth for execution,P1,Particularly relevant to privacy-safe audience modelling.
AAMP (Agentic Advertising Management Protocols) Framework,IAB Tech Lab,Agentic advertising / standards,aamp (agentic advertising management protocols) framework; iab tech lab; agentic advertising / standards; agentic advertising; agentic media discovery; planning; negotiation; deal creation; campaign automation; trust and transparency; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; adcp; ad context protocol; agentic advertising protocol; aamp; agentic primitives; shared contracts; wire protocol; state machines; conformance vectors; interop harness,https://iabtechlab.com/standards/aamp-agentic-advertising-management-protocols/; https://github.com/IABTechLab/iab-agentic-primitives,MCP; GitHub; API; Markdown,Public,P0,Treat as umbrella: shared contracts (primitives; wire protocol; state machines; conformance vectors) live in iab-agentic-primitives; retrieve child specs/SDKs separately; do not collapse all AAMP versions into one corpus.
Agentic Real-Time Framework (ARTF),IAB Tech Lab,Agentic advertising / real-time execution,agentic real-time framework (artf); iab tech lab; agentic advertising / real-time execution; agentic advertising; containerized real-time agent services; protected bidstream enrichment/mutation; low-latency execution; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; adcp; ad context protocol; agentic advertising protocol; artf,https://github.com/IABTechLab/agentic-rtb-framework,MCP; GitHub; API; Markdown,Public,P0,Latency and mutability controls matter; do not treat agent execution as equivalent to offline planning APIs.
Agentic Direct,IAB Tech Lab,Agentic advertising / direct buying,agentic direct; iab tech lab; agentic advertising / direct buying; agentic advertising; inventory discovery; negotiation; guaranteed/direct booking; asynchronous buyer-seller agent workflows; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; opendirect,https://github.com/IABTechLab/agentic-direct,MCP; GitHub; Markdown,Public,P0,Separate proposed agentic extensions from normative OpenDirect semantics.
Buyer Agent SDK,IAB Tech Lab,Agentic advertising / buyer agent,buyer agent sdk; iab tech lab; agentic advertising / buyer agent; agentic advertising; media brief ingestion; seller discovery; negotiation; media planning; deals; campaign automation; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; adcp; ad context protocol; agentic advertising protocol,https://github.com/IABTechLab/buyer-agent,MCP; GitHub; API; Markdown,Public,P0,"Reference implementation is a starting point, not a production policy model; preserve human-in-the-loop and budget guardrails."
Seller Agent SDK,IAB Tech Lab,Agentic advertising / seller agent,seller agent sdk; iab tech lab; agentic advertising / seller agent; agentic advertising; inventory/product discovery; buyer interaction; negotiation; direct and deal workflows; iab; openrtb; programmatic standards; adtech standards; ai agents; agent workflows; agent tools; mcp; model context protocol; agent tool server; adcp; ad context protocol; agentic advertising protocol,https://github.com/IABTechLab/seller-agent,MCP; GitHub; API; Markdown,Public,P0,Do not infer commercial inventory or pricing policies from the reference agent.
Agentic Audiences,IAB Tech Lab,Agentic advertising / audiences,agentic audiences; iab tech lab; agentic advertising / audiences; identity / addressability; identity; contextual and reinforcement signals; real-time intent; interoperable audience embeddings; iab; openrtb; programmatic standards; adtech standards; agentic advertising; ai agents; agent workflows; agent tools; rtb; bid request; bid response; prebid; header bidding; auction; addressability; user id; eids; audience,https://iabtechlab.com/standards/agentic-audiences/; https://github.com/IABTechLab/agentic-audiences,MCP; GitHub; Markdown,Public,P0,Treat identity/privacy semantics conservatively; do not infer consent from presence of an identifier.
